Year,Value,Category,Metric,Statistic
1992,1561,Holiday/leisure/recreation,Reason for Journey,Visitors to Ireland (Thousand)
1992,10.8,Holiday/leisure/recreation,Reason for Journey,Average Length of Stay by Visitors to Ireland (Nights)
1992,244,Visit to friends/relatives,Reason for Journey,Expenditure by Vistors to Ireland (Euro Million)
1992,905,Visit to friends/relatives,Reason for Journey,Visitors to Ireland (Thousand)
1992,9.7,Visit to friends/relatives,Reason for Journey,Average Length of Stay by Visitors to Ireland (Nights)
1992,145,Business,Reason for Journey,Expenditure by Vistors to Ireland (Euro Million)
1992,458,Business,Reason for Journey,Visitors to Ireland (Thousand)
1992,4.5,Business,Reason for Journey,Average Length of Stay by Visitors to Ireland (Nights)
1992,84,Other reason for journey,Reason for Journey,Expenditure by Vistors to Ireland (Euro Million)
1992,205,Other reason for journey,Reason for Journey,Visitors to Ireland (Thousand)
1992,11.5,Other reason for journey,Reason for Journey,Average Length of Stay by Visitors to Ireland (Nights)
1993,701,Holiday/leisure/recreation,Reason for Journey,Expenditure by Vistors to Ireland (Euro Million)
1993,1622,Holiday/leisure/recreation,Reason for Journey,Visitors to Ireland (Thousand)
1993,10.1,Holiday/leisure/recreation,Reason for Journey,Average Length of Stay by Visitors to Ireland (Nights)
1993,282,Visit to friends/relatives,Reason for Journey,Expenditure by Vistors to Ireland (Euro Million)
1993,980,Visit to friends/relatives,Reason for Journey,Visitors to Ireland (Thousand)
1993,9.5,Visit to friends/relatives,Reason for Journey,Average Length of Stay by Visitors to Ireland (Nights)
1993,166,Business,Reason for Journey,Expenditure by Vistors to Ireland (Euro Million)
1993,497,Business,Reason for Journey,Visitors to Ireland (Thousand)
1993,4.5,Business,Reason for Journey,Average Length of Stay by Visitors to Ireland (Nights)
1993,95,Other reason for journey,Reason for Journey,Expenditure by Vistors to Ireland (Euro Million)
1993,233,Other reason for journey,Reason for Journey,Visitors to Ireland (Thousand)
1993,11.9,Other reason for journey,Reason for Journey,Average Length of Stay by Visitors to Ireland (Nights)
1994,697,Holiday/leisure/recreation,Reason for Journey,Expenditure by Vistors to Ireland (Euro Million)
1994,1807,Holiday/leisure/recreation,Reason for Journey,Visitors to Ireland (Thousand)
1994,9,Holiday/leisure/recreation,Reason for Journey,Average Length of Stay by Visitors to Ireland (Nights)
